fund_name,company,activity,activity_original,translation_check
Seaya,Alma,Solution Buy Now Pay Later,Solución Buy Now Pay Later,ok
Xesgalicia,Alma Mundi Fund II,Venture capital fund,Venture capital fund,ok
DeA Capital Alternative Funds Sucursal España,Alnut,Food & Beverage infantil,Food & Beverage infantil,ok
ACON Investments,Alsur,Procesador and distribuidor of conservas vegetales of primera calidad in Spain,Procesador y distribuidor de conservas vegetales de primera calidad en Spain,ok
Ares Management,Altafit,Gyms,Gyms,ok
"Permira Asesores, S.L.U.",AltamarCAM Partners,Asset management,Asset Management,ok
GVC Gaesco,Alterity,Recycling baterías,Reciclaje baterías,review
Demeter Investment Managers,Altyn,Energy Efficiency,Energy Efficiency,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Alusín Tecnología, S.L.",Unión of metales of all types of aleaciones,Unión de metales de todo tipo de aleaciones,review
Artá capital|Kohlberg Kravis Roberts (España) Asesores,Alvic,Furniture,Mobiliario,ok
Ysios Capital Partners,AM - Pharma,Treatment diseases renales,Tratamiento enfermedades renales,ok
Proa Capital de Inversiones,Amara,Distribution of energy-efficiency materials,Distribución de materiales para la eficiencia energética,ok
Cinven Spain,Amara NZero,Distribuidor B2B,Distribuidor B2B,ok
Neotec Capital Riesgo,Amerigo,Innvierte Spain Ventures ICT,Innvierte Spain Ventures ICT,ok
Repsol Energy Ventures,Ample Inc,Mobileidad electrical,Movilidad eléctrica,ok
Asabys Partners|Sabadell Venture Capital,Anaconda,Equipo trombectométrico,Equipo trombectométrico,review
Ysios Capital Partners,Anaconda Biomed,Medical device for stroke treatment,Dispositivo médico para el tratamiento del ictus,ok
Unirisco,Ancora Mobile,Technology HMI que conecta al trabajador in the procesos of manufacturing,Technology HMI que conecta al trabajador en los procesos de manufacturing,ok
Portobello Capital Gestión|Tikehau Investment Management (Sucursal en España),Angulas Aguinaga,Proveedor of products of the mar,Proveedor de products del mar,ok
True Global Ventures,Animoca Brands,"Web3, propiedad digital","Web3, propiedad digital",ok
Suma Capital,Anoltri Invest,Treatment and valorización of waste orgánicos no peligrosos,Tratamiento y valorización de residuos orgánicos no peligrosos,review
Athos Capital,Antswarm,Herramienta detección of fraude for entidades financials,Herramienta detección de fraude para entidades financieras,review
Bullnet Capital,Anyverse,Software for generación of imágenes by ordenador,Software para generación de imágenes por ordenador,review
GVC Gaesco,Apartool,Long-term rental,Alquiler larga duración,ok
EDP Ventures España,Aperio,Solutions of cybersecurity for infrastructures críticas,Soluciones de ciberseguridad para infrastructures críticas,review
EDP Ventures España,APlanet,SW for gestionar and reportar toda the act in torno a the sost. and RSC,SW para gestionar y reportar toda la act en torno a la sost. y RSC,ok
Acurio Ventures,Aplanet,Software for companies for the management and reporte of activity ESG,Software para empresas para la gestión y reporte de actividad ESG,ok
Unirisco,Appentra Solutions,Software IA for inspección of código automatizada for mejora of performance,Software IA para inspección de código automatizada para mejora de performance,review
Caixa Capital Risc,APPENTRA SOLUTIONS SL,ICT,ICT,ok
Xesgalicia,"Appentra Solutions, S.L.",Development and operation of software,Desarrollo y explotación de software informático,ok
Unigrains|MCH Private Equity Investments,Aquanaria,Sea bass farming,Cría de lubina,ok
Seaya,Aquí Tu Reforma,Franquicia of renovación of housing,Franquicia de renovación de viviendas,review
"HUNOSA EMPRESAS, S.A., S.M.E.","ARAMO NALON, S.L.",Geriatria,Geriatria,ok
Tresmares Capital,Aranco,Services of packaging industrial,Services de embalaje industryl,ok
Buenavista Equity Partners,Araven-OM,Plástico,Plástico,review
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Arcea Hoteles,Hospitality,Hospitality,ok
Suma Capital,Ardditive,Impresión 3D for a construction más sustainable,Impresión 3D para una construction más sostenible,review
Portobello Capital Gestión,Arenit,Holding industrial,Holding industryl,ok
GAEA Inversión,Argomaniz,Manufacturer of componentes articulados for the sector descanso,Fabricante de componentes articulados para el sector descanso,ok
BeAble Capital,"Aridditive, S.L.",Chemicals & Materials,Chemicals & Materials,ok
Sociedad para el Desarrollo Industryl de Extremadura (SODIEX)/SEPIDES,Áridos Casablanca,Áridos,Áridos,review
Tresmares Capital,Arneplant,Manufacturer of materials transpirables for calzado,Fabricante de materiales transpirables para calzado,ok
EDP Ventures España,Arquiled,Sistemas inteligentes of iluminación,Sistemas inteligentes de iluminación,review
BeAble Capital,"Arrays-for-cell Nanodevices, S.L.","Design, development and production of fluorescent molecular sensors","Diseño, desarrollo y producción de sensores moleculares fluorescentes",ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Artesanos Cerveceros de Asturias, S.L.","Manufacturescion, venta and distribution of cerveza","Fabricacion, venta y distribución de cerveza",review
Sociedad para el Desarrollo Industryl de Aragón (SODIAR),Artibal,Barnices alimentarios,Barnices alimentarios,ok
BeAble Capital,"Artificial Nature, S.L.",Chemicals & Materials,Chemicals & Materials,ok
bd-capital,Ascenti,Fisioterapia and bienestar (UK),Fisioterapia y bienestar (UK),ok
Ardian Spain,ASR Wind - Project Diego,Renewable energy,Renewable Energy,ok
Kartesia,Atelier,Operadora of hotels boutique in centro urbano,Operadora de hotels boutique en centro urbano,ok
Suma Capital,ATH Bioenergy,Hotel-sector waste management and recovery company,Empresa de gestión y revalorización de residuos del sector hotelero,ok
Torsa Capital,Atiko Venues,Proptech,Proptech,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Atiko Venues, S.L.",Marketplace of rental of espacios for eventos,Marketplace de alquiler de espacios para eventos,ok
Tikehau Investment Management (Sucursal en España),Atlantic GEO,Construction,Construction,ok
Suma Capital,Atrapamuebles,"Design, distribution and sale of furniture through its e-commerce platform","Diseño, distribución y venta de furniture por medio de su ecommerce",ok
MCH Private Equity Investments,Atrys,Precision medical diagnosis and treatment,Diagnóstico y tratamiento médico de precisión,ok
Bolsa Social,Auara,Mineral water company financing drinking-water projects,Agua mineral que financia proyectos de agua potable,ok
Samaipata,Auctree,Technology platform,Technology platform,ok
Tresmares Capital,Audiçao Activa (PT),Leading hearing-aid retailer in Portugal,Compañía leader en la venta minorista de aparatos auditivos en Portugal,ok
MCH Private Equity Investments,AudiçaoActiva,Hearing-aid retail chain,Chain de aparatos auditivos,ok
Asabys Partners,Augustine Therapeutics,Development of HDAC6 inhibitors for neurodegenerative diseases,Desarrollo de inhibidores de HDAC6 para enfermedades neurodegenerativas,ok
Ysios Capital Partners,Aura Biosciences (NASDAQ: AURA),Development of drugs for ophthalmic oncology,Desarrollo de fármacos en el área de oncología oftálmica,ok
Ardian Spain,"Ausines, Veciana, La Isla",Renewable energy,Renewable Energy,ok
Bewater Asset Management,Autocines,Service of autocine and eventos,Service de autocine y eventos,ok
HCapital,Automaise,Platform for mejora of procesos companyriales,Plataforma de mejora de procesos empresariales,ok
Buenavista Equity Partners,Autovía del Eresma,Explotación of a autovía in régimen of peaje in sombra,Explotación de una autovía en régimen de peaje en sombra,review
Ares Management,Auxadi,Services,Services,ok
MCH Private Equity Investments,Avanta Healthcare,Proveedor integral of services of Healthcare,Proveedor integral de services de Healthcare,ok
Whitehole,Avanti Group,Scaffolding rental and assembly,Alquiler y montaje de andamios,ok
Abac Capital,Avanza Food,Restaurants,Restaurants,ok
Tresmares Capital,Avanzare,"Development, production and commercialization of nanomaterials","Desarrollo, producción y comercialización de nanomateriales",ok
Buenavista Equity Partners,Aviaction,Services of maintenance of interiores of aviones,Services de maintenance de interiores de aviones,ok
HCapital,AVK,Services audiovisual,Services audiovisuales,ok
Talde Gestión,AVS (Private Equity),Espacio and gran ciencia,Espacio y gran ciencia,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"AVS Millenium Healthcare, S.L.",Integrated elderly and dependency care,Atención integral para la tercera edad y dependencia,ok
Cardumen Capital,AXO Software,Software solutions,Software solutions,ok
"HUNOSA EMPRESAS, S.A., S.M.E.","AZVASE, S.L.",Socio-Asistencial,Socio-Asistencial,ok
Gawa Capital Partners,Babban Gona,Agro-SME,Agro-SME,ok
Ysios Capital Partners,Babyscripts,Healthcare of the mujer. digital Health,Healthcare de la mujer. Digital Health,ok
4Founders Capital,Baluwo,Fintech que permite enviar remesas in especie a países of África,Fintech que permite enviar remesas en especie a países de África,review
EIT Innoenergy,BAMBOO,Solution for the monetización of the flexibilidad in the sistema eléctrico,Solución para la monetización de la flexibilidad en el sistema eléctrico,review
4Founders Capital,Banktrack,Informes periódicos of tus transacciones bancarias in tus canales preferidos,Informes periódicos de tus transacciones bancarias en tus canales preferidos,review
HIG Capital,Bantierra,NPL portfolio acquisition,Aadquisición cartera NPL,ok
Caixa Capital Risc,BARBARA IOT SL,ICT,ICT,ok
Neotec Capital Riesgo,Baring Iberia III,Generalist,Generalist,ok
K Fund,Barkibu,Seguro mascotas,Seguro mascotas,ok
Acurio Ventures,Barkyn,Service of suscripción for mascotas,Service de suscripción para mascotas,review
Enagás Emprende,BasqueVolt,Manufacturing of baterías sólidas,Manufacturing de baterías sólidas,review
BeAble Capital,Battbelt SL,"Prototipado, development and comercial of material for baterias","Prototipado, desarrollo y comercial de material para baterias",ok
Sherpa Capital Entidad Gestora SGEIC,BC3 cocinas,Cocinas,Cocinas,ok
"Nazca Capital, S.G.E.I.C., S.A.",BCN Visuals,Services of technology - Campañas 3D for publicidad exterior,Services de technology - Campañas 3D para publicidad exterior,review
JME Venture Capital,BCN3D,Impreoras 3D,Impreoras 3D,ok
K Fund,Bdeo,Inspección and evaluación of daños,Inspección y evaluación de daños,review
Tresmares Capital,BDF Natural Ingredients,"Investigación, production and commercialization of ingredients funcionales","Investigación, producción y comercialización de ingredients funcionales",review
GAEA Inversión,BDI,Development of biotechnology solutions and enzymes/proteins,Desarrollo de soluciones biotecnológicas y de enzimas y proteínas,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Bedrock Intelligence, S.L.",Strategic consulting based on data science,Consultoría estratégica basada en la ciencia del dato,ok
EIT Innoenergy,BEEPLANET,Recycling and re-manufacturing of baterías of automobilees.,Reciclaje y re-manufacturing de baterías de automóviles.,review
ENION VENTURE PARTNERS,BeePlanet,Second-life baterías of EV,Segunda vida baterías de EV,review
Suma Capital,Beeplanet Factory,Storage and second-life batteries,"Almacenamiento, baterías de segunda vida",ok
Repsol Energy Ventures,"Begas Motor, S.L.",Motores ECO a GLP for vehículos pesados,Motores ECO a GLP para vehículos pesados,review
Ona Capital Privat,Bejao Fit,Social shooping App,Social shooping App,ok
Talde Gestión,Bemed-Jemed (Private Equity),Importación and distribution of implantes quirúrgicos,Importación y distribución de implantes quirúrgicos,review
"Murcia Emprende, S.C.R., S.A.",BEMYVEGA SL,Industry. Vision for Minusvalidos,Industry. Vision para Minusvalidos,ok
Ona Capital Privat,Bensol Solar,Photovoltaic solar plant,Photovoltaic solar plant,ok
Adara Ventures,Beonprice,Travel Tech (Data),Travel Tech (Data),ok
Fundación Ship2B,Berdac Smart Services,Social/Healthcare (dispensador of medicinas),Social / Healthcare (dispensador de medicinas),ok
Corpfin Capital,Berioska,Development and manufacturing of personal-care products,Desarrollo y manufacturing de products de  care personal,ok
Suma Capital,Berria,Design and manufacturing of premium bicycles,Diseño y manufacturing de bicicletas premium,ok
Alantra Private Equity,Betapack,Manufacturing of cierres of plástico,Manufacturing de cierres de plástico,review
Ourcrowd Iberia,Beyond Meat,FoodTech,FoodTech,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Big Health Data Consulting, S.L. (BHD Consulting)",IT consulting in digital environments,Consultoría IT en entornos digitales,ok
Samaipata,BigBlue,Software of logistics,Software de logistics,ok
Institut Catalá  de Finances Capital (ICF),Bigfinite,TIC - SaaS,TIC - SaaS,ok
Adara Ventures,Bigle Legal,Legal Tech,Legal Tech,ok
Institut Catalá  de Finances Capital (ICF),Bigle Legal SL,TIC - SaaS,TIC - SaaS,ok
Riverside España Partners,BioDue,"Develops, manufactures and markets food supplements","Desarrolla, fabrica y comercializa suplementos alimenticios.",ok
Q-Impact,Bioenergy,"Waste, biomasa and biogás","Residuos, biomasa y biogás",review
Xesgalicia,"Bioflytech, S.L.",Food Sector,Food Sector,ok
Bullnet Capital,Bioherent,Sistema invitro for detección of alergias,Sistema invitro para detección de alergias,review
Xesgalicia,"Biomasa Forestal, S.L.",Planta of manufacturing of pellets,Planta de manufacturing de pellets,ok
Seaya|JME Venture Capital,Biome Makers,Maximiza the potencial of cada hectárea,Maximiza el potencial de cada hectárea,review
Suma Capital,Biomethane Initiatives,Biomethane Platform,Biomethane Platform,ok
"Murcia Emprende, S.C.R., S.A.",Biometric Vox SL,TIC. Biotechnology. Biometría vocal. Firma vocal.,TIC. Biotechnology. Biometría vocal. Firma vocal.,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Bioquochem, S.L.",Development of equipment to measure antioxidant capacity,Desarrollo de equipos para la medida de la capacidad antioxidante,ok
Bullnet Capital,Bitsphi,EEG-based diagnosis of mental illnesses,Diagnóstico de enfermedades mentales basado en EEG,ok
Cardumen Capital,BLEE,Software B2B,Software B2B,ok
Cardumen Capital,BLOCKA,Software,Software,ok
K Fund,Bloobirds,"Realiza llamadas, envía and recibe correos electrónicos and mensajes of Whatsapp and of LinkedIn sin salir of the CRM","Realiza llamadas, envía y recibe correos electrónicos y mensajes de Whatsapp y de LinkedIn sin salir de el CRM",review
Institut Catalá  de Finances Capital (ICF),Bloobirds SL,TIC - SaaS,TIC - SaaS,ok
Portobello Capital Gestión,Blue Sea,Hotels vacacionales,Hotels vacacionales,ok
PHI Asset Management Partners SGEIC SA,"BLUESUN HOLDCO, S.L.",Manufacturing of products for the care of the home,Manufacturing de products para el care del home,ok
Tresmares Capital,BMAT,Software of identificación derechos autor for the industry musical,Software de identificación derechos autor para la industry musical,review
Athos Capital,Boatjump,Plataforma online of rental of embarcaciones of recreo,Plataforma online de alquiler de embarcaciones de recreo,ok
K Fund,Bob,Company of seguimiento of equipaje,empresa de seguimiento de equipaje,ok
Torsa Capital,Boldest,TravelTech,TravelTech,ok
bd-capital,Bonusan,Food supplements,Suplementos alimenticios,ok
Torsa Capital,Box2Box,Prop tech,Prop tech,ok
Sherpa Capital Entidad Gestora SGEIC,BPX,Gyms,Gyms,ok
Diana Capital,bq,Fab. Dispositivos mobilees,Fab. Dispositivos móviles,ok
Unigrains|MCH Private Equity Investments,Brasmar,Sale of pescado congelado,Venta de pescado congelado,ok
Torsa Capital,BrickBro,Prop tech,Prop tech,ok
Gestión de Capital Riesgo del País Vasco,BS-Tech Rolling Mill,Siderurgia,Siderurgia,ok
Xesgalicia,BSocial Impact Fund (Ship2B),Venture capital fund,Venture capital fund,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),BSQ Solar,Assemblys industriales,Montajes industryles,ok
Axon Partners Group,Build to Zero,Sistemas of almacenamiento of energy.,Sistemas de almacenamiento de energy.,ok
Caixa Capital Risc,BUILD38 GMBH,ICT,ICT,ok
Neotec Capital Riesgo,Bullnet Capital II FCR,ICT,ICT,ok
Talde Gestión,Burdinberri(Private Equity),Manufacturing utillaje,Manufacturing utillaje,ok
Neotec Capital Riesgo,Cabiedes & Partners,ICT,ICT,ok
Seaya,Cabify,Platform for services of mobileidad,Plataforma de services de movilidad,ok
Talde Gestión,CACESA (Private Equity),Services for e-commerce,Services para e-commerce,ok
Portobello Capital Gestión,Caiba,Manufacturing of preformas and packaging PET,Manufacturing de preformas y envases PET,ok
Ardian Spain,Calle Lerida 32-34 / Madrid,Office Building,Office Building,ok
Ardian Spain,"Calle Retama, 3 / Madrid",Office Building,Office Building,ok
BeAble Capital,"Calpech, S.L.",Energy & Environment,Energy & Environment,ok
EIT Innoenergy,CANDAM,Smart device to characterize glass and lightweight packaging,Dispositivo inteligente para caracterizar vidrio y envases ligeros.,ok
ENION VENTURE PARTNERS,Candam,Dispositivo circular economy,Dispositivo economía circular,ok
Suma Capital,Candam Tecnhologies,Circular economy and waste management,"Economía Circular, gestión de residuos",ok
Aurica Capital Desarrollo,Canitas Intermediación Veterinaria SL,Clinicas Veterinarias,Clinicas Veterinarias,ok
BeAble Capital,Captoplastic SL,Separación magnética of microplastics,Separación magnética de microplásticos,review
EDP Ventures España,Captura,Sistema of circuito cerrado for the captura CO2 in oceano,Sistema de circuito cerrado para la captura CO2 en oceano,ok
Adara Ventures,Caravelo,Travel Tech (Data),Travel Tech (Data),ok
Repsol Energy Ventures,CardinalOps,Cybersecurity,Cybersecurity,ok
Sabadell Venture Capital,Carethy,Retail sale of cosmetics and parapharmacy products,Comercialización al por menor de products de cosmética y parafarmacia,ok
Fundación Ship2B,Caring Well,Healthcare/Social (management care home-based),Healthcare / Social (gestión careres a domicilio),ok
Sabadell Venture Capital,Carnovo,Comparison platform for new-car offers from official dealers,Comparador de ofertas de coches nuevos en concesionarios oficiales.,ok
Sherpa Capital Entidad Gestora SGEIC,Carosan Logistics,Transporte,Transporte,ok
Tikehau Investment Management (Sucursal en España),Cartera RE “Green Centre”,Granular residential rental portfolio in central Madrid,Cartera residencial granular para alquiler en Madrid centro,ok
Tikehau Investment Management (Sucursal en España),Cartera RE “Sadena”,Office portfolio,Cartera de oficinas,ok
Tikehau Investment Management (Sucursal en España),Cartera RE “Zip”,Residential granular in Portugal,Residencial granular en Portugal,ok
"Murcia Emprende, S.C.R., S.A.",Carton Life SL,"Eco-designs in temporary/cardboard architecture: stands, stores, furniture","Ecodiseños en arquitectura efímera/cartón: stands, tiendas, mobiliario",ok
Alter Capital Desarrollo,Casero & Natural SL,Retail/alimentacón,Retail/alimentacón,review
Tikehau Investment Management (Sucursal en España),Castle,Reconversión of antiguo palacio in hotel 5 estrellas,Reconversión de antiguo palacio en hotel 5 estrellas,review
Gawa Capital Partners,Caurie MF,Agro Microlending,Agro Microlending,ok
Sherpa Capital Entidad Gestora SGEIC,CDO,Gyms,Gyms,ok
DeA Capital Alternative Funds Sucursal España,CDS,Manufacturer of tapones of plástico,Fabricante de tapones de plástico,review
Fundación Ship2B,Cebiotex,Healthcare (membrana for the cancer),Healthcare (membrana para el cáncer),ok
BeAble Capital,Celldrive 3D SL,Biotinta with características disruptivas que permite bioimpresión,Biotinta con características disruptivas que permite bioimpresión,review
Vigo Activo,Celtarys Research SL,Technology que acelera the validación of new drugs mediante fluorescencia..,Technology que acelera la validación de nuevos fármacos mediante fluorescencia..,review
ABE Capital Partners,CENTRO DENTAL CERANIUM,Laboratorio dental,Laboratorio dental,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),Centro Tercera Edad San Bartolomé,Residencia 3ª edad,Residencia 3ª edad,ok
Xesgalicia,"Centum Research & Technology, S.L.",I+D ciencias naturales and técnicas,I+D ciencias naturales y técnicas,review
Vigo Activo,Centum Research Technology SL,Sistemas aeronauticss of misión for emergencias and seguridad.,Sistemas aeronauticss de misión para emergencias y seguridad.,review
Gawa Capital Partners,CFE,Agro Microlending,Agro Microlending,ok
Suma Capital,CH4T,Biomethane Platform,Biomethane Platform,ok
Clave Mayor,Chaingo Tech SL,Platform for colaboración segura and rápida based on blockchain,Plataforma de colaboración segura y rápida basada en blockchain,review
EDP Ventures España,Chemitek,Solutions químicas for activities of cleaning and maintenance industrial.,Soluciones químicas para activities de cleaning y maintenance industryl.,review
True Global Ventures,Chromaway,"Web3, infrastructure","Web3, infrastructure",ok
True Global Ventures,Chronicled,Platafomra admin blockchain for Life Science EEUU,platafomra admin blockchain para Life Science EEUU,ok
Bolsa Social,Ciclogreen,Plataforma online for mobileidad sustainable.,Plataforma online para  movilidad sostenible.,ok
Fundación Ship2B,Ciclogreen Move and Win,Climate app to promote sustainable transportation use,Clima (app para potenciar uso transporte sostenible),ok
Tresmares Capital,Cicrosa,Manufacturing of cilindros hidráulicos,Manufacturing de cilindros hidráulicos,review
Sociedad Regional de Promoción del Principado de asturias (SRP),Cinelenses S.L.,Marketplace of cámaras and lentes cinematográficas,Marketplace de cámaras y lentes cinematográficas,review
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Cines Embajadores,Cines,Cines,ok
Xesgalicia,"Cinfo Contenidos Informativos Personalizados, S.L.",Artificial intelligence and plataformas tecnológicas of televisión in internet,Inteligencia artificial y plataformas tecnológicas de televisión en internet,review
Bewater Asset Management,Cink coworking,Espacios of coworking in Madrid,Espacios de coworking en Madrid,ok
Espiga Equity Partners,Cintas Adhesivas Ubis,Production of cintas adhesivas,Producción de cintas adhesivas,ok
Miura Partners,Citri&Co,Leader mundial in production and commercialization of cítricos and fruta of hueso,Líder mundial en producción y comercialización de cítricos y fruta de hueso,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Ciudad Industryl del Valle del Nalón, S.A.U.  (VALNALON)",Support for business creation and consolidation,Apoyo a la creación y consolidación de empresas,ok
